Number	Cell	Slice	Date	Sample	Mouse	Mouse date of birth	Mouse age	Targeted layer	Cre	Number of genes detected	RNA family	RNA type	RNA type confidence	RNA type top-3	ALM/VISp top-3	Length (bp)	Yield (pg/µl)	User	Hold Time (min)	Soma depth (µm)	Soma depth (4x)	Cortical thickness (4x)	Cortical thickness (µm)	Traced	Exclusion reasons
212	20180508_sample_3	20180508_slice_3	2018-05-08	sample 3	mouse_CQEQX	2017-11-23	166	2/3	WT	3604	IT	L2/3 IT_3	0.71	L2/3 IT_3 (70.9%), L2/3 IT_2 (7.9%), L6 CT Grp (7.6%)	L2/3 IT VISp Agmat (85.0%), L2/3 IT VISp Adamts2 (8.0%), L2/3 IT VISp Rrad (4.0%)	1729	16.14	Fede	10	220.7	81.9	577.4	1593.624	y	
213	20180508_sample_4	20180508_slice_4	2018-05-08	sample 4	mouse_CQEQX	2017-11-23	166	2/3	WT	6051	IT	L2/3 IT_3	0.63	L2/3 IT_3 (63.1%), L2/3 IT_1 (24.4%), L2/3 IT_2 (9.9%)	L2/3 IT VISp Rrad (86.0%), L2/3 IT VISp Adamts2 (14.0%)	1506	62.94	Matteo	12	213.9	71.4	586.2	1617.912		
214	20180509_sample_1	20180509_slice_1	2018-05-09	sample 1	mouse_QQBBV	2018-02-15	83	2/3	WT	3903	low quality					1768	42.96	Fede	10	275	98.1	505.1	1394.076	y	
215	20180509_sample_2	20180509_slice_2	2018-05-09	sample 2	mouse_QQBBV	2018-02-15	83	2/3	WT	9094	IT	L2/3 IT_3	0.97	L2/3 IT_3 (96.9%)	L2/3 IT VISp Agmat (90.0%), L2/3 IT ALM Macc1 Lrg1 (9.0%)	1797	276.8	Matteo	15	305.7	116.1	577	1592.52		
216	20180509_sample_3	20180509_slice_3	2018-05-09	sample 3	mouse_QQBBV	2018-02-15	83	2/3	WT	8557	IT	L2/3 IT_3	0.98	L2/3 IT_3 (98.4%)	L2/3 IT VISp Agmat (80.0%), L2/3 IT ALM Macc1 Lrg1 (20.0%)	1538	320.83	Fede	10	338.7	121	586.1	1617.636	y	
217	20180509_sample_4	20180509_slice_4	2018-05-09	sample 4	mouse_QQBBV	2018-02-15	83	2/3	WT	8977	IT	L2/3 IT_3	0.9	L2/3 IT_3 (89.7%), L2/3 IT_2 (3.4%), L4/5 IT_1 (2.9%)	L2/3 IT ALM Macc1 Lrg1 (74.0%), L2/3 IT VISp Agmat (13.0%), L2/3 IT VISp Rrad (8.0%)	1741	188.94	Matteo	12	339.8	113.6	537.3	1482.948	y	
218	20180509_sample_5	20180509_slice_3	2018-05-09	sample 5	mouse_QQBBV	2018-02-15	83	2/3	WT	7708	IT	L2/3 IT_3	0.73	L2/3 IT_3 (72.7%), L2/3 IT_2 (22.0%), L2/3 IT_1 (2.7%)	L2/3 IT VISp Agmat (79.0%), L2/3 IT ALM Macc1 Lrg1 (17.0%)	1668	146.92	Fede	12	250.5	90.7	586.1	1617.636	y	
219	20180509_sample_7	20180509_slice_5	2018-05-09	sample 7	mouse_QQBBV	2018-02-15	83	5	WT	10189	IT	L5 IT_1	0.98	L5 IT_1 (98.1%)	L5 IT ALM Tmem163 Arhgap25 (85.0%), L5 IT VISp Hsd11b1 Endou (6.0%), L5 IT VISp Whrn Tox2 (5.0%)	1511	344.77	Fede	13	609.4	223.2	540.5	1491.78	y	
220	20180509_sample_9	20180509_slice_7	2018-05-09	sample 9	mouse_QQBBV	2018-02-15	83	2/3	WT	10223	IT	L2/3 IT_3	0.49	L2/3 IT_3 (48.6%), L2/3 IT_1 (20.4%), L2/3 IT_2 (18.7%)	L2/3 IT VISp Adamts2 (59.0%), L2/3 IT VISp Rrad (27.0%), L2/3 IT VISp Agmat (9.0%)	1522	382.92	Fede	10	218.3	79.8	583.9	1611.564		
221	20180510_sample_2	20180510_slice_2	2018-05-10	sample 2	mouse_WEAAS	2018-02-05	94	2/3	WT	9509	Pvalb	Pvalb Reln	1	Pvalb Reln (99.9%)	Pvalb Reln Itm2a (100.0%)	2047	384.57	Matteo	36	478.5	171.4	643.6	1776.336	y	
222	20180510_sample_3	20180510_slice_3	2018-05-10	sample 3	mouse_WEAAS	2018-02-05	94	2/3	WT	6253	IT	L2/3 IT_3	0.94	L2/3 IT_3 (94.0%), L2/3 IT_2 (2.3%)	L2/3 IT VISp Rrad (54.0%), L2/3 IT VISp Agmat (46.0%)	1855	179.13	Fede	15	203.3	75.1	531.5	1466.94		
223	20180510_sample_4	20180510_slice_4	2018-05-10	sample 4	mouse_WEAAS	2018-02-05	94	2/3	WT	11574	IT	L2/3 IT_3	0.81	L2/3 IT_3 (80.6%), L2/3 IT_2 (9.3%), L5 PT_4 (4.6%)	L2/3 IT ALM Macc1 Lrg1 (53.0%), L2/3 IT VISp Agmat (46.0%)	1876	787.81	Matteo	16	358.8	126.1	610.3	1684.428		
224	20180510_sample_5	20180510_slice_5	2018-05-10	sample 5	mouse_WEAAS	2018-02-05	94	5	WT	9588	IT	L4/5 IT_2	0.86	L4/5 IT_2 (86.3%), L5 IT_1 (10.1%)	L5 IT ALM Tmem163 Dmrtb1 (50.0%), L5 IT ALM Lypd1 Gpr88 (45.0%)	1863	454.14	Fede	10	489	171.3	532.2	1468.872	y	
225	20180510_sample_9	20180510_slice_7	2018-05-10	sample 9	mouse_WEAAS	2018-02-05	94	5	WT	8870	IT	L4/5 IT_2	0.73	L4/5 IT_2 (72.9%), L4/5 IT_1 (17.9%), L5 IT_1 (8.6%)	L5 IT VISp Hsd11b1 Endou (73.0%), L5 IT ALM Cbln4 Fezf2 (16.0%), L4 IT VISp Rspo1 (5.0%)	2027	211.4	Fede	15	465.7	168.5	492.1	1358.196		
226	20180515_sample_1	20180515_slice_1	2018-05-15	sample 1	mouse_BULZF	2018-01-26	109	2/3	PV+	4790	Pvalb	Pvalb Reln	0.74	Pvalb Reln (73.7%), Pvalb Il1rapl2 (17.4%), Pvalb Kank4 (7.0%)	Pvalb Reln Itm2a (100.0%)	1523	45.02	Fede	25	410	150	649.1	1791.516	y	
227	20180515_sample_6	20180515_slice_6	2018-05-15	sample 6	mouse_BULZF	2018-01-26	109	5	PV+	4803	Pvalb	Pvalb Reln	0.87	Pvalb Reln (87.3%), Pvalb Gpr149 (6.7%), Pvalb Calb1_2 (2.7%)	Pvalb Reln Itm2a (97.0%)	1676	68.11	Matteo	30	571.5	202.4	579.2	1598.592		
228	20180522_sample_1	20180522_slice_1	2018-05-22	sample 1	mouse_WDWKX	2018-02-05	106	2/3	WT	6870	IT	L4/5 IT_1	0.59	L4/5 IT_1 (59.0%), L2/3 IT_3 (33.6%), L5 IT_3 (5.9%)	L4 IT VISp Rspo1 (62.0%), L2/3 IT ALM Macc1 Lrg1 (18.0%), L5 IT ALM Pld5 (15.0%)	1589	124.51	Fede	11	358.1	145.8	521.6	1439.616		
229	20180522_sample_2	20180522_slice_2	2018-05-22	sample 2	mouse_WDWKX	2018-02-05	106	2/3	WT	7062	IT	L2/3 IT_3	0.98	L2/3 IT_3 (97.7%)	L2/3 IT VISp Agmat (80.0%), L2/3 IT VISp Rrad (15.0%)	1524	165.61	Matteo	12	327.5	135.3	541.6	1494.816		
230	20180522_sample_3	20180522_slice_3	2018-05-22	sample 3	mouse_WDWKX	2018-02-05	106	5	WT	5409	IT	L4/5 IT_2	0.98	L4/5 IT_2 (98.1%)	L5 IT ALM Lypd1 Gpr88 (52.0%), L4 IT VISp Rspo1 (44.0%)	1520	105.25	Fede	14	586.7	228.2	581.9	1606.044		
231	20180522_sample_4	20180522_slice_4	2018-05-22	sample 4	mouse_WDWKX	2018-02-05	106	5	WT	7353	IT	L5 IT_1	0.93	L5 IT_1 (93.4%), L5 IT_2 (5.1%)	L5 IT VISp Batf3 (43.0%), L5 IT VISp Col6a1 Fezf2 (21.0%), L5 IT ALM Gkn1 Pcdh19 (20.0%)	1515	227.08	Matteo	12	461.6	168.1	473.2	1306.032	y	
232	20180522_sample_5	20180522_slice_5	2018-05-22	sample 5	mouse_WDWKX	2018-02-05	106	2/3	WT	9794	Pvalb	Pvalb Il1rapl2	0.5	Pvalb Il1rapl2 (50.3%), Pvalb Reln (44.3%), Pvalb Calb1_2 (2.7%)	Pvalb Tpbg (69.0%), Pvalb Reln Itm2a (31.0%)	1647	282.73	Fede	20	225.3	82.6	570.2	1573.752		
233	20180522_sample_6	20180522_slice_6	2018-05-22	sample 6	mouse_WDWKX	2018-02-05	106	5	WT	6142	PT	L5 PT_1	0.79	L5 PT_1 (78.7%), L5 PT_4 (7.9%), L5 PT_2 (3.9%)	L5 PT VISp Krt80 (52.0%), L5 PT VISp Lgr5 (24.0%), L5 PT ALM Slco2a1 (23.0%)	1659	51.57	Matteo	12	748.1	267.3	506.4	1397.664		
234	20180522_sample_7	20180522_slice_7	2018-05-22	sample 7	mouse_WDWKX	2018-02-05	106	2/3	WT	5694	IT	L2/3 IT_3	0.93	L2/3 IT_3 (92.6%), L5 IT_3 (3.0%)	L2/3 IT VISp Agmat (98.0%)	1516	94.74	Fede	10	260.2	93	550.7	1519.932	y	
235	20180524_sample_5	20180524_slice_5	2018-05-24	sample 5	mouse_QFXET	2018-02-05	108	2/3	WT	1948	low quality					1610	32.27	Fede	25	203.5	74	587.4	1621.224		
236	20180524_sample_8	20180524_slice_8	2018-05-24	sample 8	mouse_BFVKP	2018-02-06	107	5	SCNN1	9526	IT	L4/5 IT_2	0.95	L4/5 IT_2 (95.0%)	L5 IT ALM Lypd1 Gpr88 (84.0%), L5 IT ALM Tmem163 Dmrtb1 (16.0%)	1507	218.59	Fede	9	515.1	185.4	583.2	1609.632	y	
237	20180524_sample_9	20180524_slice_9	2018-05-24	sample 9	mouse_BFVKP	2018-02-06	107	2/3	WT	4443	Pvalb	Pvalb Gpr149	0.45	Pvalb Gpr149 (45.0%), Pvalb Calb1_2 (41.7%), Pvalb Il1rapl2 (8.0%)	Pvalb Reln Tac1 (46.0%), Pvalb Tpbg (29.0%), Pvalb Gpr149 Islr (19.0%)	1503	44.78	Fede	20	606.9	214.6	523.1	1443.756	y	
238	20180529_sample_3	20180529_slice_3	2018-05-29	sample 3	mouse_PAIFP	2017-09-26	245	5	VIAAT-	1434	IT	L4/5 IT_1	0.53	L4/5 IT_1 (53.0%), L4/5 IT_2 (6.3%), L6b Kcnip1 (4.9%)	L4 IT VISp Rspo1 (71.0%), L5 IT ALM Pld5 (25.0%)	1597	51.05	Matteo	10	285.6	105.3	487.3	1344.948	y	
239	20180608_sample_1	20180608_slice_1	2018-06-08	sample 1	mouse_CTDSZ	2018-02-16	112	2/3	WT	6352	Lamp5	Lamp5 Pax6	0.99	Lamp5 Pax6 (99.1%)	Lamp5 Krt73 (100.0%)	2035	168.37	Matteo	22	163.4	63.4	518.6	1431.336		
240	20180608_sample_2	20180608_slice_2	2018-06-08	sample 2	mouse_CTDSZ	2018-02-16	112	5	WT	8734	Pvalb	Pvalb Gpr149	1	Pvalb Gpr149 (100.0%)	Pvalb Gpr149 Islr (100.0%)	2210	172.09	Matteo	32	1057.4	388.6	589.2	1626.192		
241	20180608_sample_3	20180608_slice_3	2018-06-08	sample 3	mouse_CTDSZ	2018-02-16	112	5	WT	2539	IT	L5 IT_1	0.74	L5 IT_1 (74.1%), L4/5 IT_2 (6.4%), L5 IT_2 (5.3%)	L5 IT VISp Batf3 (93.0%), L4 IT VISp Rspo1 (3.0%)	2099	23.62	Matteo	16	639.5	228.2	597.5	1649.1		
242	20180608_sample_5	20180608_slice_5	2018-06-08	sample 5	mouse_CTDSZ	2018-02-16	112	5	WT	12260	Pvalb	Pvalb Kank4	0.83	Pvalb Kank4 (83.0%), Pvalb Gpr149 (13.3%)	Pvalb Sema3e Kank4 (100.0%)	1989	752.7	Matteo	20	928.4	330.3	542	1495.92		
243	20180619_sample_3	20180619_slice_3	2018-06-19	sample 3	mouse_CSTGT	2018-02-16	123	2/3	WT	2797	Pvalb	Pvalb Il1rapl2	0.74	Pvalb Il1rapl2 (74.4%), Pvalb Calb1_2 (9.0%), Pvalb Reln (7.6%)	Pvalb Tpbg (78.0%), Pvalb Reln Tac1 (13.0%), Pvalb Vipr2 (4.0%)	1752	420.79	Fede	22	218.6	78.8	473.5	1306.86		
244	20180619_sample_5	20180619_slice_5	2018-06-19	sample 5	mouse_CSTGT	2018-02-16	123	2/3	WT	5957	IT	L2/3 IT_3	0.89	L2/3 IT_3 (88.7%), L2/3 IT_2 (9.9%)	L2/3 IT VISp Agmat (60.0%), L2/3 IT VISp Rrad (39.0%)	1720	112.1	Fede	10	219.4	82	516.4	1425.264		
245	20180619_sample_7	20180619_slice_7	2018-06-19	sample 7	mouse_CSTGT	2018-02-16	123	2/3	WT	5175	Lamp5	Lamp5 Pdlim5_2	0.41	Lamp5 Pdlim5_2 (41.1%), Lamp5 Pdlim5_1 (39.7%), Lamp5 Egln3_3 (18.4%)	Lamp5 Plch2 Dock5 (90.0%), Lamp5 Ntn1 Npy2r (10.0%)	1771	78.51	Fede	30	426.2	154.4	484.2	1336.392		
246	20180621_sample_1	20180621_slice_1	2018-06-21	sample 1	mouse_IAHGR	2018-02-16	125	2/3	WT	7323	IT	L2/3 IT_3	0.87	L2/3 IT_3 (87.0%), L2/3 IT_2 (13.0%)	L2/3 IT VISp Rrad (88.0%), L2/3 IT VISp Agmat (12.0%)	1932	230.92	Fede	10	254.4	89.9	582.4	1607.424		
247	20180621_sample_2	20180621_slice_2	2018-06-21	sample 2	mouse_IAHGR	2018-02-16	125	2/3	WT	7573	IT	L2/3 IT_3	0.55	L2/3 IT_3 (54.7%), L2/3 IT_2 (41.6%)	L2/3 IT VISp Rrad (84.0%), L2/3 IT VISp Agmat (8.0%), L2/3 IT ALM Macc1 Lrg1 (7.0%)	1899	270.78	Fede	10	228.2	82.1	569.8	1572.648	y	
248	20180621_sample_3	20180621_slice_3	2018-06-21	sample 3	mouse_IAHGR	2018-02-16	125	2/3	WT	9388	Sncg	Sncg Calb1_1	0.71	Sncg Calb1_1 (71.0%), Sncg Slc17a8 (28.6%)	Sncg Slc17a8 (100.0%)	2002	339.05	Fede	20	220	78.2	606.4	1673.664		
249	20180621_sample_4	20180621_slice_4	2018-06-21	sample 4	mouse_IAHGR	2018-02-16	125	2/3	WT	7521	IT	L2/3 IT_3	0.85	L2/3 IT_3 (85.0%), L2/3 IT_2 (12.7%)	L2/3 IT VISp Agmat (88.0%), L2/3 IT VISp Rrad (12.0%)	1894	216.13	Fede	10	239	84.4	523.9	1445.964	y	
250	20180621_sample_5	20180621_slice_5	2018-06-21	sample 5	mouse_IAHGR	2018-02-16	125	2/3	WT	8839	Vip	Vip Mybpc1_2	1	Vip Mybpc1_2 (100.0%)	Vip Crispld2 Kcne4 (100.0%)	1762	294.81	Fede	19	213.7	77.7	560.8	1547.808		
251	20180621_sample_7	20180621_slice_7	2018-06-21	sample 7	mouse_IAHGR	2018-02-16	125	2/3	WT	7197	Pvalb	Pvalb Il1rapl2	0.83	Pvalb Il1rapl2 (82.6%), Pvalb Calb1_2 (12.6%)	Pvalb Tpbg (90.0%), Pvalb Reln Tac1 (8.0%)	1550	219.29	Fede	27	268	98.1	607.5	1676.7	y	
252	20180621_sample_8	20180621_slice_8	2018-06-21	sample 8	mouse_IAHGR	2018-02-16	125	2/3	WT	10671	Pvalb	Pvalb Reln	0.69	Pvalb Reln (69.1%), Pvalb Il1rapl2 (28.7%)	Pvalb Reln Itm2a (95.0%)	1714	603.05	Fede	23	440.2	162.7	631.2	1742.112		
253	20180628_sample_2	20180628_slice_2	2018-06-28	sample 2	mouse_HAKYY	2018-04-16	73	2/3	PV+	8521	Pvalb	Pvalb Reln	0.8	Pvalb Reln (80.4%), Pvalb Kank4 (18.4%)	Pvalb Reln Itm2a (100.0%)	1748	290.81	Fede	30	424.5	155.2	519.2	1432.992	y	
254	20180628_sample_3	20180628_slice_3	2018-06-28	sample 3	mouse_HAKYY	2018-04-16	73	2/3	PV+	7716	Pvalb	Pvalb Il1rapl2	0.93	Pvalb Il1rapl2 (92.7%), Pvalb Reln (5.4%)	Pvalb Tpbg (85.0%), Pvalb Reln Itm2a (15.0%)	1807	227.42	Fede	30	204.6	71.2	525.5	1450.38		
255	20180628_sample_4	20180628_slice_4	2018-06-28	sample 4	mouse_HAKYY	2018-04-16	73	5	PV+	2925	low quality					1705	24.39	Fede	29	651.3	241.1	530	1462.8		
256	20180628_sample_6	20180628_slice_6	2018-06-28	sample 6	mouse_HAKYY	2018-04-16	73	2/3	PV+	7110	Pvalb	Pvalb Il1rapl2	0.68	Pvalb Il1rapl2 (67.6%), Pvalb Gpr149 (14.7%), Pvalb Reln (13.0%)	Pvalb Reln Itm2a (57.0%), Pvalb Tpbg (43.0%)	1539	246.23	Fede	20	333.9	121.7	497	1371.72		
257	20180628_sample_7	20180628_slice_7	2018-06-28	sample 7	mouse_HAKYY	2018-04-16	73	1	PV-	4106	Lamp5	Lamp5 Egln3_1	0.57	Lamp5 Egln3_1 (56.7%), Sncg Npy2r (35.3%), Vip Sncg (7.4%)	Sncg Vip Nptx2 (90.0%), Lamp5 Fam19a1 Pax6 (8.0%)	1862	75.88	Fede	20	99.4	39.4	500.3	1380.828		
258	20180703_sample_1	20180703_slice_1	2018-07-03	sample 1	mouse_RWJCG	2018-02-16	137	5	WT	5947	Pvalb	Pvalb Il1rapl2	0.87	Pvalb Il1rapl2 (87.0%), Pvalb Reln (8.3%)	Pvalb Tpbg (78.0%), Pvalb Reln Itm2a (22.0%)	1954	119.38	Matteo	35	234.5	86	626	1727.76		
259	20180703_sample_2	20180703_slice_2	2018-07-03	sample 2	mouse_RWJCG	2018-02-16	137	5	WT	7617	IT	L5 IT_1	0.89	L5 IT_1 (89.0%), L5 IT_2 (6.6%)	L5 IT ALM Cpa6 Gpr88 (40.0%), L5 IT ALM Gkn1 Pcdh19 (28.0%), L5 IT ALM Tmem163 Arhgap25 (18.0%)	1713	447.64	Matteo	18	867.8	299.5	678.7	1873.212		
260	20180703_sample_3	20180703_slice_3	2018-07-03	sample 3	mouse_RWJCG	2018-02-16	137	5	WT	2689	low quality					1505	96.49	Matteo	16	627.9	223.7	599.1	1653.516		
261	20180704_sample_1	20180704_slice_1	2018-07-04	sample 1	mouse_PZPYT	2018-05-29	36	2/3	PV+	8596	Pvalb	Pvalb Il1rapl2	0.61	Pvalb Il1rapl2 (61.3%), Pvalb Reln (36.3%)	Pvalb Reln Itm2a (73.0%), Pvalb Tpbg (27.0%)	2049	281.99	Fede	20	393.4	143.9	640.6	1768.056		
262	20180704_sample_2	20180704_slice_2	2018-07-04	sample 2	mouse_PZPYT	2018-05-29	36	2/3	PV+	8749	Pvalb	Pvalb Il1rapl2	0.72	Pvalb Il1rapl2 (72.3%), Pvalb Reln (25.1%)	Pvalb Reln Itm2a (85.0%), Pvalb Tpbg (14.0%)	1841	502.56	Fede	20	416.4	155.9	618.8	1707.888		
263	20180704_sample_3	20180704_slice_3	2018-07-04	sample 3	mouse_PZPYT	2018-05-29	36	2/3	PV+	10919	Pvalb	Pvalb Reln	0.7	Pvalb Reln (70.1%), Pvalb Il1rapl2 (27.9%)	Pvalb Reln Itm2a (96.0%)	1529	589.61	Fede	20	379.1	142.1	583.6	1610.736		
264	20180704_sample_4	20180704_slice_4	2018-07-04	sample 4	mouse_PZPYT	2018-05-29	36	2/3	PV-	2294	CT	L6b Col6a1	0.17	L6b Col6a1 (17.0%), L2/3 IT_3 (16.3%), L6 CT Cpa6 (15.9%)	L2/3 IT VISp Rrad (71.0%), L2/3 IT VISp Adamts2 (18.0%), L2/3 IT VISp Agmat (3.0%)	1690	28.23	Fede	20	1382.6	500.6	646.4	1784.064		
265	20180704_sample_5	20180704_slice_5	2018-07-04	sample 5	mouse_PZPYT	2018-05-29	36	5	PV+	7216	Pvalb	Pvalb Reln	0.74	Pvalb Reln (74.4%), Pvalb Il1rapl2 (14.7%), Pvalb Kank4 (10.0%)	Pvalb Reln Itm2a (100.0%)	1660	620.15	Fede	20	586.1	214.4	628.3	1734.108	y	
266	20180705_sample_1	20180705_slice_1	2018-07-05	sample 1	mouse_QBAPL	2018-05-29	37	5	PV+	8522	Pvalb	Pvalb Kank4	0.51	Pvalb Kank4 (51.3%), Pvalb Calb1_2 (20.4%), Pvalb Reln (13.4%)	Pvalb Sema3e Kank4 (86.0%), Pvalb Reln Itm2a (14.0%)	1852	431.05	Matteo	32	615.3	221.8	605.4	1670.904	y	
267	20180705_sample_4	20180705_slice_4	2018-07-05	sample 4	mouse_QBAPL	2018-05-29	37	2/3	PV+	10329	Pvalb	Pvalb Gpr149	1	Pvalb Gpr149 (99.7%)	Pvalb Gpr149 Islr (100.0%)	1837	508.72	Matteo	30	319.2	110.6	616.6	1701.816		
268	20180709_sample_2	20180709_slice_2	2018-07-09	sample 2	mouse_EEWII	2018-04-28	72	2/3	VIAAT-	10946	IT	L2/3 IT_3	0.94	L2/3 IT_3 (93.7%), L5 PT_2 (4.9%)	L2/3 IT VISp Agmat (61.0%), L2/3 IT ALM Macc1 Lrg1 (39.0%)	1915	604.7	Matteo	20	362.6	126.5	571.3	1576.788	y	
269	20180709_sample_3	20180709_slice_3	2018-07-09	sample 3	mouse_EEWII	2018-04-28	72	2/3	VIAAT+	6198	Lamp5	Lamp5 Slc35d3	0.86	Lamp5 Slc35d3 (85.6%), Lamp5 Pdlim5_2 (14.3%)	Lamp5 Lsp1 (100.0%)	1582	176.43	Matteo	30	145.3	58.2	605.3	1670.628		
270	20180709_sample_4	20180709_slice_4	2018-07-09	sample 4	mouse_EEWII	2018-04-28	72	2/3	VIAAT-	7241	IT	L2/3 IT_3	0.99	L2/3 IT_3 (99.4%)	L2/3 IT VISp Agmat (97.0%)	1511	228.44	Matteo	20	250.2	96.5	594.8	1641.648		
271	20180709_sample_6	20180709_slice_6	2018-07-09	sample 6	mouse_EEWII	2018-04-28	72	5	VIAAT-	6253	IT	L4/5 IT_2	0.74	L4/5 IT_2 (73.6%), L5 IT_1 (12.4%), L4/5 IT_1 (6.1%)	L5 IT ALM Lypd1 Gpr88 (60.0%), L5 IT VISp Hsd11b1 Endou (26.0%), L4 IT VISp Rspo1 (12.0%)	1507	383.71	Matteo	20	593.8	213.3	578.2	1595.832		
272	20180710_sample_1	20180710_slice_1	2018-07-10	sample 1	mouse_CSPPC	2018-05-29	42	5	PV+	9158	Pvalb	Pvalb Reln	0.99	Pvalb Reln (99.1%)	Pvalb Reln Itm2a (100.0%)	1965	314.29	Matteo	30	541.1	204.2	662.9	1829.604		
273	20180710_sample_2	20180710_slice_2	2018-07-10	sample 2	mouse_CSPPC	2018-05-29	42	2/3	PV+	4887	Pvalb	Pvalb Il1rapl2	0.63	Pvalb Il1rapl2 (62.9%), Pvalb Calb1_2 (20.0%), Pvalb Reln (11.4%)	Pvalb Tpbg (70.0%), Pvalb Reln Tac1 (24.0%), Pvalb Reln Itm2a (5.0%)	1509	163.86	Matteo	30	358.4	127.4	615.8	1699.608		
274	20180710_sample_3	20180710_slice_3	2018-07-10	sample 3	mouse_CSPPC	2018-05-29	42	2/3	PV+	7962	Pvalb	Pvalb Il1rapl2	0.74	Pvalb Il1rapl2 (73.7%), Pvalb Calb1_2 (15.7%), Pvalb Reln (6.1%)	Pvalb Tpbg (89.0%), Pvalb Reln Itm2a (11.0%)	1933	214.63	Matteo	30	337.9	117.4	595.5	1643.58		
275	20180710_sample_5	20180710_slice_5	2018-07-10	sample 5	mouse_CSPPC	2018-05-29	42	2/3	PV+	8412	Pvalb	Pvalb Il1rapl2	0.79	Pvalb Il1rapl2 (78.7%), Pvalb Reln (10.1%), Pvalb Calb1_2 (8.4%)	Pvalb Tpbg (98.0%)	1726	508.7	Matteo	15	576.9	218.1	644.7	1779.372		
276	20180711_sample_1	20180711_slice_1	2018-07-11	sample 1	mouse_TXVXA	2018-05-09	63	2/3	SST+	4353	Pvalb	Pvalb Il1rapl2	0.79	Pvalb Il1rapl2 (78.7%), Pvalb Gpr149 (7.1%), Pvalb Reln (6.3%)	Pvalb Tpbg (89.0%), Pvalb Reln Tac1 (7.0%)	1512	199.36	Fede	22	286.4	114.5	602.6	1663.176	y	
277	20180711_sample_2	20180711_slice_2	2018-07-11	sample 2	mouse_TXVXA	2018-05-09	63	2/3	SST+	7602	Sst	Sst Hpse	0.98	Sst Hpse (98.4%)	Sst Hpse Cbln4 (100.0%)	1931	192	Fede	20	595.5	216.2	570.2	1573.752		
278	20180711_sample_3	20180711_slice_3	2018-07-11	sample 3	mouse_TXVXA	2018-05-09	63	2/3	SST+	6607	Sst	Sst Calb2	0.99	Sst Calb2 (99.3%)	Sst Calb2 Pdlim5 (98.0%)	1747	157.43	Fede	26	418.3	154.3	624	1722.24	y	
279	20180711_sample_4	20180711_slice_4	2018-07-11	sample 4	mouse_TXVXA	2018-05-09	63	2/3	SST+	6215	Sst	Sst Calb2	1	Sst Calb2 (100.0%)	Sst Calb2 Pdlim5 (100.0%)	1689	178.87	Matteo	30	241	88.6	696.5	1922.34		
280	20180712_sample_2	20180712_slice_2	2018-07-12	sample 2	mouse_XTKQH	2018-02-22	140	1	PV-	3751	low quality					1536	69.06	Fede	30	117.5	42	554	1529.04		
281	20180712_sample_3	20180712_slice_3	2018-07-12	sample 3	mouse_XTKQH	2018-02-22	140	2/3	PV-	7192	Sncg	Sncg Calb1_2	0.84	Sncg Calb1_2 (84.3%), Sncg Calb1_1 (8.0%), Sncg Npy2r (7.6%)	Sncg Gpr50 (100.0%)	1757	267.39	Fede	30	196.8	70.9	545	1504.2		
282	20180712_sample_5	20180712_slice_5	2018-07-12	sample 5	mouse_XTKQH	2018-02-22	140	2/3	PV-	6880	Pvalb	Pvalb Il1rapl2	0.72	Pvalb Il1rapl2 (72.3%), Pvalb Reln (14.6%), Pvalb Kank4 (7.1%)	Pvalb Reln Itm2a (82.0%), Pvalb Tpbg (18.0%)	1526	184.25	Fede	25	687.5	243.7	594.6	1641.096		
283	20180712_sample_11	20180712_slice_11	2018-07-12	sample 11	mouse_XTKQH	2018-02-22	140	2/3	PV-	7793	Pvalb	Pvalb Il1rapl2	0.85	Pvalb Il1rapl2 (84.7%), Pvalb Reln (11.6%)	Pvalb Tpbg (72.0%), Pvalb Reln Itm2a (28.0%)	1595	293.55	Matteo	26	281.3	107	617.3	1703.748		
284	20180712_sample_12	20180712_slice_12	2018-07-12	sample 12	mouse_XTKQH	2018-02-22	140	5	PV-	8263	Pvalb	Pvalb Reln	0.63	Pvalb Reln (62.7%), Pvalb Calb1_2 (29.3%), Pvalb Gpr149 (4.3%)	Pvalb Reln Itm2a (85.0%), Pvalb Reln Tac1 (15.0%)	1675	225.89	Matteo	26	695.6	262.7	639.8	1765.848		
285	20180712_sample_13	20180712_slice_13	2018-07-12	sample 13	mouse_XTKQH	2018-02-22	140	2/3	PV-	12149	IT	L2/3 IT_3	0.71	L2/3 IT_3 (70.9%), L2/3 IT_2 (18.6%), L5 PT_2 (7.7%)	L2/3 IT VISp Agmat (65.0%), L2/3 IT ALM Macc1 Lrg1 (31.0%)	1854	824.67	Matteo	25	174.8	66.8	589.8	1627.848	y	
286	20180712_sample_14	20180712_slice_14	2018-07-12	sample 14	mouse_XTKQH	2018-02-22	140	5	PV-	9410	Pvalb	Pvalb Reln	0.94	Pvalb Reln (93.7%), Pvalb Il1rapl2 (6.0%)	Pvalb Reln Itm2a (100.0%)	1504	435.23	Matteo	20	585	214.8	618.3	1706.508	y	
287	20180712_sample_15	20180712_slice_15	2018-07-12	sample 15	mouse_XTKQH	2018-02-22	140	5	PV-	7722	Pvalb	Pvalb Reln	1	Pvalb Reln (99.9%)	Pvalb Reln Itm2a (100.0%)	1801	220.26	Matteo	25	639.5	232.2	667.8	1843.128		
